"Original_Topic","Cited_Topic","weight","distance"
1,2,41,0.024390243902439
1,3,32,0.03125
1,4,41,0.024390243902439
1,5,10,0.1
1,6,9,0.111111111111111
1,7,13,0.0769230769230769
1,8,38,0.0263157894736842
1,9,12,0.0833333333333333
1,10,269,0.00371747211895911
1,11,7,0.142857142857143
1,12,1,1
1,13,13,0.0769230769230769
1,15,9,0.111111111111111
1,16,25,0.04
1,17,30,0.0333333333333333
1,18,12,0.0833333333333333
1,19,3,0.333333333333333
1,20,8,0.125
1,21,10,0.1
1,22,11,0.0909090909090909
1,23,6,0.166666666666667
1,24,5,0.2
1,25,2,0.5
1,26,1,1
1,27,5,0.2
1,28,7,0.142857142857143
1,29,14,0.0714285714285714
1,30,149,0.00671140939597315
1,31,2,0.5
1,32,20,0.05
1,33,4,0.25
1,34,56,0.0178571428571429
1,35,9,0.111111111111111
2,1,92,0.0108695652173913
2,3,34,0.0294117647058824
2,4,63,0.0158730158730159
2,5,10,0.1
2,6,13,0.0769230769230769
2,7,36,0.0277777777777778
2,8,35,0.0285714285714286
2,9,19,0.0526315789473684
2,10,343,0.00291545189504373
2,11,49,0.0204081632653061
2,12,3,0.333333333333333
2,13,15,0.0666666666666667
2,14,17,0.0588235294117647
2,15,27,0.037037037037037
2,16,12,0.0833333333333333
2,17,35,0.0285714285714286
2,18,23,0.0434782608695652
2,19,15,0.0666666666666667
2,20,21,0.0476190476190476
2,21,4,0.25
2,22,34,0.0294117647058824
2,23,48,0.0208333333333333
2,24,14,0.0714285714285714
2,25,11,0.0909090909090909
2,26,6,0.166666666666667
2,27,14,0.0714285714285714
2,28,7,0.142857142857143
2,29,38,0.0263157894736842
2,30,106,0.00943396226415094
2,32,38,0.0263157894736842
2,33,13,0.0769230769230769
2,34,106,0.00943396226415094
2,35,19,0.0526315789473684
2,36,13,0.0769230769230769
3,1,31,0.032258064516129
3,2,11,0.0909090909090909
3,4,17,0.0588235294117647
3,5,6,0.166666666666667
3,6,8,0.125
3,7,42,0.0238095238095238
3,8,133,0.0075187969924812
3,9,3,0.333333333333333
3,10,104,0.00961538461538462
3,11,63,0.0158730158730159
3,12,2,0.5
3,13,7,0.142857142857143
3,14,26,0.0384615384615385
3,15,60,0.0166666666666667
3,16,7,0.142857142857143
3,17,11,0.0909090909090909
3,18,8,0.125
3,19,8,0.125
3,20,4,0.25
3,21,1,1
3,22,14,0.0714285714285714
3,23,101,0.0099009900990099
3,24,10,0.1
3,25,4,0.25
3,26,1,1
3,27,2,0.5
3,28,10,0.1
3,29,73,0.0136986301369863
3,30,45,0.0222222222222222
3,32,23,0.0434782608695652
3,33,3,0.333333333333333
3,34,59,0.0169491525423729
3,35,68,0.0147058823529412
3,36,6,0.166666666666667
4,1,13,0.0769230769230769
4,2,20,0.05
4,3,23,0.0434782608695652
4,5,4,0.25
4,6,8,0.125
4,7,17,0.0588235294117647
4,8,11,0.0909090909090909
4,9,10,0.1
4,10,137,0.0072992700729927
4,11,6,0.166666666666667
4,12,7,0.142857142857143
4,13,21,0.0476190476190476
4,14,14,0.0714285714285714
4,15,8,0.125
4,16,5,0.2
4,17,12,0.0833333333333333
4,18,10,0.1
4,19,8,0.125
4,20,18,0.0555555555555556
4,21,13,0.0769230769230769
4,22,38,0.0263157894736842
4,23,15,0.0666666666666667
4,24,5,0.2
4,25,11,0.0909090909090909
4,26,3,0.333333333333333
4,27,3,0.333333333333333
4,28,2,0.5
4,29,28,0.0357142857142857
4,30,13,0.0769230769230769
4,31,2,0.5
4,32,3,0.333333333333333
4,33,13,0.0769230769230769
4,34,40,0.025
4,35,23,0.0434782608695652
4,36,8,0.125
5,1,12,0.0833333333333333
5,2,16,0.0625
5,3,10,0.1
5,4,12,0.0833333333333333
5,6,30,0.0333333333333333
5,7,15,0.0666666666666667
5,8,8,0.125
5,9,3,0.333333333333333
5,10,31,0.032258064516129
5,11,7,0.142857142857143
5,12,10,0.1
5,13,24,0.0416666666666667
5,14,10,0.1
5,15,8,0.125
5,16,11,0.0909090909090909
5,17,4,0.25
5,18,10,0.1
5,19,5,0.2
5,20,14,0.0714285714285714
5,21,4,0.25
5,22,23,0.0434782608695652
5,23,10,0.1
5,24,3,0.333333333333333
5,25,47,0.0212765957446809
5,26,11,0.0909090909090909
5,27,2,0.5
5,28,4,0.25
5,29,52,0.0192307692307692
5,30,12,0.0833333333333333
5,31,16,0.0625
5,32,3,0.333333333333333
5,33,4,0.25
5,34,12,0.0833333333333333
5,35,21,0.0476190476190476
5,36,5,0.2
6,1,4,0.25
6,2,12,0.0833333333333333
6,3,10,0.1
6,4,29,0.0344827586206897
6,5,28,0.0357142857142857
6,7,18,0.0555555555555556
6,8,10,0.1
6,9,4,0.25
6,10,35,0.0285714285714286
6,11,23,0.0434782608695652
6,12,10,0.1
6,13,15,0.0666666666666667
6,14,22,0.0454545454545455
6,15,6,0.166666666666667
6,16,7,0.142857142857143
6,17,16,0.0625
6,18,5,0.2
6,19,3,0.333333333333333
6,20,21,0.0476190476190476
6,21,10,0.1
6,22,26,0.0384615384615385
6,23,20,0.05
6,24,1,1
6,25,51,0.0196078431372549
6,26,9,0.111111111111111
6,27,7,0.142857142857143
6,28,2,0.5
6,29,39,0.0256410256410256
6,30,13,0.0769230769230769
6,31,25,0.04
6,32,1,1
6,33,11,0.0909090909090909
6,34,13,0.0769230769230769
6,35,14,0.0714285714285714
6,36,6,0.166666666666667
7,1,20,0.05
7,2,23,0.0434782608695652
7,3,71,0.0140845070422535
7,4,25,0.04
7,5,12,0.0833333333333333
7,6,9,0.111111111111111
7,8,62,0.0161290322580645
7,9,1,1
7,10,103,0.00970873786407767
7,11,19,0.0526315789473684
7,12,2,0.5
7,13,17,0.0588235294117647
7,14,12,0.0833333333333333
7,15,12,0.0833333333333333
7,16,11,0.0909090909090909
7,17,16,0.0625
7,18,9,0.111111111111111
7,19,8,0.125
7,20,10,0.1
7,21,2,0.5
7,22,15,0.0666666666666667
7,23,35,0.0285714285714286
7,24,11,0.0909090909090909
7,25,7,0.142857142857143
7,26,5,0.2
7,27,9,0.111111111111111
7,28,12,0.0833333333333333
7,29,50,0.02
7,30,57,0.0175438596491228
7,31,2,0.5
7,32,14,0.0714285714285714
7,33,2,0.5
7,34,33,0.0303030303030303
7,35,26,0.0384615384615385
7,36,7,0.142857142857143
8,1,39,0.0256410256410256
8,2,13,0.0769230769230769
8,3,135,0.00740740740740741
8,4,29,0.0344827586206897
8,5,9,0.111111111111111
8,6,4,0.25
8,7,48,0.0208333333333333
8,9,8,0.125
8,10,83,0.0120481927710843
8,11,75,0.0133333333333333
8,12,9,0.111111111111111
8,13,13,0.0769230769230769
8,14,27,0.037037037037037
8,15,19,0.0526315789473684
8,16,7,0.142857142857143
8,17,7,0.142857142857143
8,18,6,0.166666666666667
8,19,4,0.25
8,20,6,0.166666666666667
8,22,37,0.027027027027027
8,23,62,0.0161290322580645
8,24,13,0.0769230769230769
8,25,8,0.125
8,26,3,0.333333333333333
8,27,4,0.25
8,28,15,0.0666666666666667
8,29,68,0.0147058823529412
8,30,31,0.032258064516129
8,31,3,0.333333333333333
8,32,19,0.0526315789473684
8,33,4,0.25
8,34,51,0.0196078431372549
8,35,44,0.0227272727272727
8,36,9,0.111111111111111
9,1,24,0.0416666666666667
9,2,24,0.0416666666666667
9,3,16,0.0625
9,4,53,0.0188679245283019
9,5,8,0.125
9,6,13,0.0769230769230769
9,7,19,0.0526315789473684
9,8,16,0.0625
9,10,146,0.00684931506849315
9,11,11,0.0909090909090909
9,12,4,0.25
9,13,5,0.2
9,14,12,0.0833333333333333
9,15,12,0.0833333333333333
9,16,14,0.0714285714285714
9,17,15,0.0666666666666667
9,18,11,0.0909090909090909
9,19,7,0.142857142857143
9,20,4,0.25
9,21,10,0.1
9,22,21,0.0476190476190476
9,23,15,0.0666666666666667
9,24,5,0.2
9,25,11,0.0909090909090909
9,26,5,0.2
9,27,10,0.1
9,28,4,0.25
9,29,31,0.032258064516129
9,30,48,0.0208333333333333
9,31,2,0.5
9,32,4,0.25
9,33,8,0.125
9,34,46,0.0217391304347826
9,35,16,0.0625
9,36,10,0.1
10,1,356,0.00280898876404494
10,2,167,0.00598802395209581
10,3,222,0.0045045045045045
10,4,450,0.00222222222222222
10,5,14,0.0714285714285714
10,6,10,0.1
10,7,117,0.00854700854700855
10,8,164,0.00609756097560976
10,9,41,0.024390243902439
10,11,170,0.00588235294117647
10,12,13,0.0769230769230769
10,13,95,0.0105263157894737
10,14,86,0.0116279069767442
10,15,105,0.00952380952380952
10,16,35,0.0285714285714286
10,17,109,0.00917431192660551
10,18,148,0.00675675675675676
10,19,50,0.02
10,20,56,0.0178571428571429
10,21,10,0.1
10,22,137,0.0072992700729927
10,23,186,0.00537634408602151
10,24,32,0.03125
10,25,29,0.0344827586206897
10,26,23,0.0434782608695652
10,27,66,0.0151515151515152
10,28,53,0.0188679245283019
10,29,102,0.00980392156862745
10,30,443,0.00225733634311512
10,31,2,0.5
10,32,86,0.0116279069767442
10,33,46,0.0217391304347826
10,34,424,0.00235849056603774
10,35,129,0.00775193798449612
10,36,31,0.032258064516129
11,1,18,0.0555555555555556
11,2,20,0.05
11,3,33,0.0303030303030303
11,4,24,0.0416666666666667
11,5,6,0.166666666666667
11,6,2,0.5
11,7,24,0.0416666666666667
11,8,75,0.0133333333333333
11,9,7,0.142857142857143
11,10,97,0.0103092783505155
11,12,8,0.125
11,13,9,0.111111111111111
11,14,120,0.00833333333333333
11,15,28,0.0357142857142857
11,16,16,0.0625
11,17,7,0.142857142857143
11,18,7,0.142857142857143
11,19,19,0.0526315789473684
11,20,72,0.0138888888888889
11,21,3,0.333333333333333
11,22,18,0.0555555555555556
11,23,201,0.00497512437810945
11,24,6,0.166666666666667
11,25,4,0.25
11,26,1,1
11,27,6,0.166666666666667
11,28,9,0.111111111111111
11,29,13,0.0769230769230769
11,30,17,0.0588235294117647
11,31,2,0.5
11,32,7,0.142857142857143
11,33,23,0.0434782608695652
11,34,29,0.0344827586206897
11,35,20,0.05
11,36,19,0.0526315789473684
12,1,1,1
12,2,1,1
12,3,1,1
12,4,13,0.0769230769230769
12,5,1,1
12,6,5,0.2
12,7,2,0.5
12,8,1,1
12,9,3,0.333333333333333
12,10,12,0.0833333333333333
12,11,1,1
12,13,1,1
12,14,4,0.25
12,15,2,0.5
12,16,2,0.5
12,18,3,0.333333333333333
12,19,1,1
12,21,1,1
12,22,10,0.1
12,23,3,0.333333333333333
12,24,1,1
12,25,5,0.2
12,26,5,0.2
12,27,2,0.5
12,29,2,0.5
12,30,1,1
12,32,2,0.5
12,34,2,0.5
12,35,1,1
12,36,2,0.5
13,1,22,0.0454545454545455
13,2,15,0.0666666666666667
13,3,13,0.0769230769230769
13,4,24,0.0416666666666667
13,5,4,0.25
13,6,8,0.125
13,7,24,0.0416666666666667
13,8,9,0.111111111111111
13,9,7,0.142857142857143
13,10,57,0.0175438596491228
13,11,11,0.0909090909090909
13,12,1,1
13,15,10,0.1
13,16,3,0.333333333333333
13,17,5,0.2
13,18,12,0.0833333333333333
13,19,4,0.25
13,20,13,0.0769230769230769
13,21,8,0.125
13,22,5,0.2
13,23,5,0.2
13,24,4,0.25
13,25,13,0.0769230769230769
13,26,2,0.5
13,27,6,0.166666666666667
13,28,1,1
13,29,9,0.111111111111111
13,30,31,0.032258064516129
13,31,4,0.25
13,32,4,0.25
13,33,3,0.333333333333333
13,34,15,0.0666666666666667
13,35,2,0.5
13,36,9,0.111111111111111
14,1,7,0.142857142857143
14,2,7,0.142857142857143
14,3,46,0.0217391304347826
14,4,29,0.0344827586206897
14,5,5,0.2
14,6,2,0.5
14,7,20,0.05
14,8,32,0.03125
14,9,5,0.2
14,10,39,0.0256410256410256
14,11,141,0.00709219858156028
14,12,11,0.0909090909090909
14,13,3,0.333333333333333
14,15,9,0.111111111111111
14,17,1,1
14,18,3,0.333333333333333
14,19,4,0.25
14,20,6,0.166666666666667
14,21,1,1
14,22,35,0.0285714285714286
14,23,78,0.0128205128205128
14,24,5,0.2
14,25,4,0.25
14,26,15,0.0666666666666667
14,27,1,1
14,28,33,0.0303030303030303
14,29,28,0.0357142857142857
14,30,10,0.1
14,32,2,0.5
14,33,4,0.25
14,34,4,0.25
14,35,156,0.00641025641025641
14,36,14,0.0714285714285714
15,1,10,0.1
15,2,25,0.04
15,3,71,0.0140845070422535
15,4,11,0.0909090909090909
15,5,5,0.2
15,6,8,0.125
15,7,13,0.0769230769230769
15,8,44,0.0227272727272727
15,9,7,0.142857142857143
15,10,102,0.00980392156862745
15,11,48,0.0208333333333333
15,13,8,0.125
15,14,20,0.05
15,16,3,0.333333333333333
15,17,11,0.0909090909090909
15,18,7,0.142857142857143
15,19,9,0.111111111111111
15,20,24,0.0416666666666667
15,22,7,0.142857142857143
15,23,69,0.0144927536231884
15,24,6,0.166666666666667
15,25,7,0.142857142857143
15,26,8,0.125
15,27,2,0.5
15,28,3,0.333333333333333
15,29,11,0.0909090909090909
15,30,20,0.05
15,31,3,0.333333333333333
15,32,21,0.0476190476190476
15,33,2,0.5
15,34,18,0.0555555555555556
15,35,17,0.0588235294117647
15,36,7,0.142857142857143
16,1,23,0.0434782608695652
16,2,21,0.0476190476190476
16,3,4,0.25
16,4,10,0.1
16,5,14,0.0714285714285714
16,6,13,0.0769230769230769
16,7,15,0.0666666666666667
16,8,7,0.142857142857143
16,9,5,0.2
16,10,48,0.0208333333333333
16,11,8,0.125
16,12,1,1
16,13,8,0.125
16,14,3,0.333333333333333
16,15,6,0.166666666666667
16,17,12,0.0833333333333333
16,18,10,0.1
16,19,2,0.5
16,20,8,0.125
16,21,11,0.0909090909090909
16,22,9,0.111111111111111
16,23,13,0.0769230769230769
16,24,1,1
16,25,4,0.25
16,26,7,0.142857142857143
16,27,10,0.1
16,29,38,0.0263157894736842
16,30,32,0.03125
16,31,8,0.125
16,32,5,0.2
16,33,3,0.333333333333333
16,34,20,0.05
16,35,4,0.25
16,36,3,0.333333333333333
17,1,43,0.0232558139534884
17,2,22,0.0454545454545455
17,3,32,0.03125
17,4,49,0.0204081632653061
17,5,3,0.333333333333333
17,6,7,0.142857142857143
17,7,22,0.0454545454545455
17,8,27,0.037037037037037
17,9,4,0.25
17,10,130,0.00769230769230769
17,11,9,0.111111111111111
17,12,1,1
17,13,7,0.142857142857143
17,14,6,0.166666666666667
17,15,10,0.1
17,16,6,0.166666666666667
17,18,9,0.111111111111111
17,19,8,0.125
17,20,5,0.2
17,21,5,0.2
17,22,18,0.0555555555555556
17,23,16,0.0625
17,24,5,0.2
17,25,14,0.0714285714285714
17,26,1,1
17,27,7,0.142857142857143
17,28,5,0.2
17,29,49,0.0204081632653061
17,30,68,0.0147058823529412
17,31,1,1
17,32,15,0.0666666666666667
17,33,4,0.25
17,34,51,0.0196078431372549
17,35,14,0.0714285714285714
17,36,3,0.333333333333333
18,1,18,0.0555555555555556
18,2,13,0.0769230769230769
18,3,32,0.03125
18,4,54,0.0185185185185185
18,5,4,0.25
18,6,10,0.1
18,7,16,0.0625
18,8,35,0.0285714285714286
18,9,12,0.0833333333333333
18,10,138,0.0072463768115942
18,11,35,0.0285714285714286
18,12,2,0.5
18,13,14,0.0714285714285714
18,14,23,0.0434782608695652
18,15,21,0.0476190476190476
18,16,10,0.1
18,17,13,0.0769230769230769
18,19,2,0.5
18,20,15,0.0666666666666667
18,21,4,0.25
18,22,18,0.0555555555555556
18,23,24,0.0416666666666667
18,24,1,1
