"Original_Topic","Cited_Topic","weight","distance"
18,25,14,0.0714285714285714
18,26,3,0.333333333333333
18,27,14,0.0714285714285714
18,28,6,0.166666666666667
18,29,51,0.0196078431372549
18,30,31,0.032258064516129
18,31,3,0.333333333333333
18,32,5,0.2
18,33,4,0.25
18,34,28,0.0357142857142857
18,35,16,0.0625
18,36,5,0.2
19,1,3,0.333333333333333
19,2,7,0.142857142857143
19,3,19,0.0526315789473684
19,4,34,0.0294117647058824
19,5,3,0.333333333333333
19,6,3,0.333333333333333
19,7,5,0.2
19,8,11,0.0909090909090909
19,9,3,0.333333333333333
19,10,81,0.0123456790123457
19,11,17,0.0588235294117647
19,12,3,0.333333333333333
19,13,7,0.142857142857143
19,14,24,0.0416666666666667
19,15,19,0.0526315789473684
19,16,5,0.2
19,17,12,0.0833333333333333
19,18,2,0.5
19,20,2,0.5
19,21,6,0.166666666666667
19,22,25,0.04
19,23,27,0.037037037037037
19,24,1,1
19,25,3,0.333333333333333
19,26,6,0.166666666666667
19,27,3,0.333333333333333
19,28,9,0.111111111111111
19,29,22,0.0454545454545455
19,30,31,0.032258064516129
19,31,2,0.5
19,32,18,0.0555555555555556
19,33,5,0.2
19,34,20,0.05
19,35,19,0.0526315789473684
19,36,8,0.125
20,1,3,0.333333333333333
20,2,6,0.166666666666667
20,3,6,0.166666666666667
20,4,20,0.05
20,5,5,0.2
20,6,11,0.0909090909090909
20,7,6,0.166666666666667
20,8,7,0.142857142857143
20,9,2,0.5
20,10,58,0.0172413793103448
20,11,14,0.0714285714285714
20,12,2,0.5
20,13,11,0.0909090909090909
20,14,3,0.333333333333333
20,15,17,0.0588235294117647
20,16,7,0.142857142857143
20,17,8,0.125
20,18,9,0.111111111111111
20,19,3,0.333333333333333
20,21,2,0.5
20,22,15,0.0666666666666667
20,23,9,0.111111111111111
20,24,2,0.5
20,25,14,0.0714285714285714
20,26,1,1
20,27,3,0.333333333333333
20,28,2,0.5
20,29,26,0.0384615384615385
20,30,23,0.0434782608695652
20,31,24,0.0416666666666667
20,32,4,0.25
20,33,2,0.5
20,34,11,0.0909090909090909
20,35,8,0.125
20,36,11,0.0909090909090909
21,1,10,0.1
21,2,5,0.2
21,3,5,0.2
21,4,20,0.05
21,5,2,0.5
21,6,11,0.0909090909090909
21,7,3,0.333333333333333
21,8,4,0.25
21,9,2,0.5
21,10,34,0.0294117647058824
21,11,4,0.25
21,12,2,0.5
21,13,10,0.1
21,14,7,0.142857142857143
21,15,2,0.5
21,16,5,0.2
21,17,7,0.142857142857143
21,18,6,0.166666666666667
21,19,1,1
21,20,14,0.0714285714285714
21,22,6,0.166666666666667
21,23,6,0.166666666666667
21,24,1,1
21,25,6,0.166666666666667
21,27,6,0.166666666666667
21,28,1,1
21,29,16,0.0625
21,30,13,0.0769230769230769
21,31,8,0.125
21,32,1,1
21,33,5,0.2
21,34,9,0.111111111111111
21,35,5,0.2
21,36,2,0.5
22,1,16,0.0625
22,2,25,0.04
22,3,34,0.0294117647058824
22,4,57,0.0175438596491228
22,5,10,0.1
22,6,7,0.142857142857143
22,7,22,0.0454545454545455
22,8,39,0.0256410256410256
22,9,13,0.0769230769230769
22,10,141,0.00709219858156028
22,11,31,0.032258064516129
22,12,13,0.0769230769230769
22,13,7,0.142857142857143
22,14,73,0.0136986301369863
22,15,8,0.125
22,16,11,0.0909090909090909
22,17,13,0.0769230769230769
22,18,18,0.0555555555555556
22,19,20,0.05
22,20,19,0.0526315789473684
22,21,5,0.2
22,23,45,0.0222222222222222
22,24,5,0.2
22,25,14,0.0714285714285714
22,26,76,0.0131578947368421
22,27,4,0.25
22,28,30,0.0333333333333333
22,29,73,0.0136986301369863
22,30,36,0.0277777777777778
22,31,4,0.25
22,32,8,0.125
22,33,6,0.166666666666667
22,34,34,0.0294117647058824
22,35,50,0.02
22,36,35,0.0285714285714286
23,1,11,0.0909090909090909
23,2,22,0.0454545454545455
23,3,110,0.00909090909090909
23,4,39,0.0256410256410256
23,5,4,0.25
23,6,11,0.0909090909090909
23,7,53,0.0188679245283019
23,8,142,0.00704225352112676
23,9,6,0.166666666666667
23,10,123,0.00813008130081301
23,11,245,0.00408163265306122
23,12,8,0.125
23,13,8,0.125
23,14,120,0.00833333333333333
23,15,112,0.00892857142857143
23,16,8,0.125
23,17,11,0.0909090909090909
23,18,9,0.111111111111111
23,19,19,0.0526315789473684
23,20,17,0.0588235294117647
23,21,4,0.25
23,22,50,0.02
23,24,8,0.125
23,25,5,0.2
23,26,10,0.1
23,27,5,0.2
23,28,14,0.0714285714285714
23,29,102,0.00980392156862745
23,30,33,0.0303030303030303
23,32,25,0.04
23,33,11,0.0909090909090909
23,34,49,0.0204081632653061
23,35,113,0.00884955752212389
23,36,18,0.0555555555555556
24,2,5,0.2
24,3,16,0.0625
24,4,29,0.0344827586206897
24,7,13,0.0769230769230769
24,8,15,0.0666666666666667
24,9,4,0.25
24,10,91,0.010989010989011
24,11,11,0.0909090909090909
24,12,1,1
24,13,1,1
24,14,2,0.5
24,15,6,0.166666666666667
24,16,4,0.25
24,17,3,0.333333333333333
24,18,6,0.166666666666667
24,19,2,0.5
24,20,2,0.5
24,22,7,0.142857142857143
24,23,10,0.1
24,25,2,0.5
24,26,1,1
24,27,1,1
24,28,16,0.0625
24,29,7,0.142857142857143
24,30,17,0.0588235294117647
24,31,1,1
24,32,20,0.05
24,33,1,1
24,34,20,0.05
24,35,10,0.1
24,36,5,0.2
25,1,1,1
25,2,10,0.1
25,3,6,0.166666666666667
25,4,11,0.0909090909090909
25,5,25,0.04
25,6,33,0.0303030303030303
25,7,14,0.0714285714285714
25,8,9,0.111111111111111
25,9,7,0.142857142857143
25,10,33,0.0303030303030303
25,11,14,0.0714285714285714
25,12,5,0.2
25,13,6,0.166666666666667
25,14,16,0.0625
25,15,8,0.125
25,16,6,0.166666666666667
25,17,18,0.0555555555555556
25,18,13,0.0769230769230769
25,19,8,0.125
25,20,14,0.0714285714285714
25,21,5,0.2
25,22,23,0.0434782608695652
25,23,14,0.0714285714285714
25,24,2,0.5
25,26,8,0.125
25,27,4,0.25
25,28,2,0.5
25,29,41,0.024390243902439
25,30,8,0.125
25,31,53,0.0188679245283019
25,32,1,1
25,33,2,0.5
25,34,10,0.1
25,35,22,0.0454545454545455
25,36,18,0.0555555555555556
26,1,4,0.25
26,2,9,0.111111111111111
26,3,5,0.2
26,4,13,0.0769230769230769
26,5,11,0.0909090909090909
26,6,6,0.166666666666667
26,7,4,0.25
26,8,7,0.142857142857143
26,9,9,0.111111111111111
26,10,40,0.025
26,11,29,0.0344827586206897
26,12,25,0.04
26,13,1,1
26,14,32,0.03125
26,15,8,0.125
26,16,5,0.2
26,17,2,0.5
26,18,8,0.125
26,19,3,0.333333333333333
26,20,10,0.1
26,21,1,1
26,22,86,0.0116279069767442
26,23,9,0.111111111111111
26,24,3,0.333333333333333
26,25,8,0.125
26,27,1,1
26,28,5,0.2
26,29,57,0.0175438596491228
26,30,17,0.0588235294117647
26,31,4,0.25
26,32,1,1
26,33,4,0.25
26,34,9,0.111111111111111
26,35,11,0.0909090909090909
26,36,8,0.125
27,1,3,0.333333333333333
27,2,20,0.05
27,3,7,0.142857142857143
27,4,14,0.0714285714285714
27,6,8,0.125
27,7,2,0.5
27,8,2,0.5
27,9,7,0.142857142857143
27,10,51,0.0196078431372549
27,11,2,0.5
27,12,2,0.5
27,13,4,0.25
27,14,2,0.5
27,15,4,0.25
27,16,2,0.5
27,17,8,0.125
27,18,5,0.2
27,19,2,0.5
27,20,3,0.333333333333333
27,21,2,0.5
27,22,7,0.142857142857143
27,23,4,0.25
27,25,4,0.25
27,26,4,0.25
27,28,2,0.5
27,29,22,0.0454545454545455
27,30,20,0.05
27,31,3,0.333333333333333
27,32,3,0.333333333333333
27,33,7,0.142857142857143
27,34,17,0.0588235294117647
27,35,11,0.0909090909090909
27,36,1,1
28,3,18,0.0555555555555556
28,4,5,0.2
28,5,1,1
28,8,12,0.0833333333333333
28,9,4,0.25
28,10,30,0.0333333333333333
28,11,4,0.25
28,12,9,0.111111111111111
28,13,3,0.333333333333333
28,14,18,0.0555555555555556
28,15,6,0.166666666666667
28,16,1,1
28,17,1,1
28,18,4,0.25
28,19,8,0.125
28,20,1,1
28,21,1,1
28,22,19,0.0526315789473684
28,23,10,0.1
28,24,16,0.0625
28,25,1,1
28,26,4,0.25
28,27,3,0.333333333333333
28,29,11,0.0909090909090909
28,30,1,1
28,31,2,0.5
28,32,1,1
28,34,5,0.2
28,35,44,0.0227272727272727
29,1,11,0.0909090909090909
29,2,52,0.0192307692307692
29,3,57,0.0175438596491228
29,4,45,0.0222222222222222
29,5,50,0.02
29,6,37,0.027027027027027
29,7,73,0.0136986301369863
29,8,76,0.0131578947368421
29,9,8,0.125
29,10,99,0.0101010101010101
29,11,4,0.25
29,12,9,0.111111111111111
29,13,13,0.0769230769230769
29,14,37,0.027027027027027
29,15,3,0.333333333333333
29,16,45,0.0222222222222222
29,17,36,0.0277777777777778
29,18,27,0.037037037037037
29,19,12,0.0833333333333333
29,20,14,0.0714285714285714
29,21,8,0.125
29,22,73,0.0136986301369863
29,23,76,0.0131578947368421
29,24,4,0.25
29,25,41,0.024390243902439
29,26,43,0.0232558139534884
29,27,11,0.0909090909090909
29,28,8,0.125
29,30,35,0.0285714285714286
29,31,12,0.0833333333333333
29,32,21,0.0476190476190476
29,33,4,0.25
29,34,32,0.03125
29,35,47,0.0212765957446809
29,36,31,0.032258064516129
30,1,116,0.00862068965517241
30,2,57,0.0175438596491228
30,3,68,0.0147058823529412
30,4,80,0.0125
30,5,13,0.0769230769230769
30,6,9,0.111111111111111
30,7,39,0.0256410256410256
30,8,47,0.0212765957446809
30,9,15,0.0666666666666667
30,10,428,0.00233644859813084
30,11,55,0.0181818181818182
30,12,4,0.25
30,13,32,0.03125
30,14,16,0.0625
30,15,43,0.0232558139534884
30,16,18,0.0555555555555556
30,17,40,0.025
30,18,25,0.04
30,19,15,0.0666666666666667
30,20,29,0.0344827586206897
30,21,7,0.142857142857143
30,22,31,0.032258064516129
30,23,46,0.0217391304347826
30,24,9,0.111111111111111
30,25,19,0.0526315789473684
30,26,1,1
30,27,19,0.0526315789473684
30,28,14,0.0714285714285714
30,29,48,0.0208333333333333
30,31,4,0.25
30,32,36,0.0277777777777778
30,33,11,0.0909090909090909
30,34,141,0.00709219858156028
30,35,21,0.0476190476190476
30,36,14,0.0714285714285714
31,1,2,0.5
31,2,3,0.333333333333333
31,3,1,1
31,4,1,1
31,5,8,0.125
31,6,18,0.0555555555555556
31,8,2,0.5
31,10,17,0.0588235294117647
31,11,2,0.5
31,12,1,1
31,13,4,0.25
31,14,4,0.25
31,15,3,0.333333333333333
31,16,1,1
31,17,2,0.5
31,18,4,0.25
31,19,5,0.2
31,20,23,0.0434782608695652
31,22,13,0.0769230769230769
31,23,5,0.2
31,24,1,1
31,25,16,0.0625
31,26,5,0.2
31,29,8,0.125
31,30,15,0.0666666666666667
31,33,1,1
31,34,6,0.166666666666667
31,35,6,0.166666666666667
31,36,1,1
32,1,93,0.010752688172043
32,2,32,0.03125
32,3,45,0.0222222222222222
32,4,19,0.0526315789473684
32,5,3,0.333333333333333
32,6,3,0.333333333333333
32,7,33,0.0303030303030303
32,8,29,0.0344827586206897
32,9,3,0.333333333333333
32,10,129,0.00775193798449612
32,11,18,0.0555555555555556
32,12,1,1
32,13,10,0.1
32,14,13,0.0769230769230769
32,15,37,0.027027027027027
32,16,5,0.2
32,17,6,0.166666666666667
32,18,5,0.2
32,19,10,0.1
32,20,6,0.166666666666667
32,21,1,1
32,22,13,0.0769230769230769
32,23,29,0.0344827586206897
32,24,6,0.166666666666667
32,25,2,0.5
32,26,4,0.25
32,27,6,0.166666666666667
32,28,8,0.125
32,29,27,0.037037037037037
32,30,47,0.0212765957446809
32,33,7,0.142857142857143
32,34,85,0.0117647058823529
32,35,14,0.0714285714285714
32,36,4,0.25
33,1,10,0.1
33,2,9,0.111111111111111
33,3,18,0.0555555555555556
33,4,21,0.0476190476190476
33,5,1,1
33,6,2,0.5
33,7,4,0.25
33,8,11,0.0909090909090909
33,9,6,0.166666666666667
33,10,47,0.0212765957446809
33,11,18,0.0555555555555556
33,13,6,0.166666666666667
33,14,8,0.125
33,15,4,0.25
33,16,5,0.2
33,17,7,0.142857142857143
33,18,3,0.333333333333333
33,19,4,0.25
33,20,2,0.5
33,22,9,0.111111111111111
33,23,11,0.0909090909090909
33,24,2,0.5
33,25,1,1
33,27,2,0.5
33,29,12,0.0833333333333333
33,30,14,0.0714285714285714
33,31,1,1
33,32,1,1
33,34,27,0.037037037037037
33,35,3,0.333333333333333
33,36,1,1
34,1,56,0.0178571428571429
34,2,27,0.037037037037037
34,3,75,0.0133333333333333
34,4,85,0.0117647058823529
34,5,7,0.142857142857143
34,6,5,0.2
34,7,46,0.0217391304347826
34,8,70,0.0142857142857143
34,9,15,0.0666666666666667
34,10,311,0.00321543408360129
34,11,21,0.0476190476190476
34,12,5,0.2
34,13,17,0.0588235294117647
34,14,19,0.0526315789473684
34,15,17,0.0588235294117647
34,16,18,0.0555555555555556
34,17,40,0.025
34,18,15,0.0666666666666667
34,19,14,0.0714285714285714
34,20,6,0.166666666666667
34,21,10,0.1
34,22,32,0.03125
34,23,38,0.0263157894736842
34,24,16,0.0625
34,25,7,0.142857142857143
34,26,5,0.2
34,27,19,0.0526315789473684
34,28,11,0.0909090909090909
34,29,47,0.0212765957446809
34,30,120,0.00833333333333333
34,31,3,0.333333333333333
34,32,18,0.0555555555555556
34,33,18,0.0555555555555556
34,35,38,0.0263157894736842
34,36,12,0.0833333333333333
35,1,12,0.0833333333333333
35,2,9,0.111111111111111
35,3,113,0.00884955752212389
35,4,38,0.0263157894736842
35,5,7,0.142857142857143
35,6,12,0.0833333333333333
35,7,19,0.0526315789473684
35,8,63,0.0158730158730159
35,9,8,0.125
35,10,90,0.0111111111111111
35,11,15,0.0666666666666667
35,12,13,0.0769230769230769
35,13,7,0.142857142857143
35,14,143,0.00699300699300699
35,15,9,0.111111111111111
35,16,8,0.125
35,17,8,0.125
35,18,11,0.0909090909090909
35,19,12,0.0833333333333333
35,20,8,0.125
35,21,5,0.2
35,22,49,0.0204081632653061
35,23,78,0.0128205128205128
35,24,3,0.333333333333333
35,25,18,0.0555555555555556
35,26,11,0.0909090909090909
35,27,18,0.0555555555555556
35,28,19,0.0526315789473684
35,29,77,0.012987012987013
35,30,20,0.05
35,31,3,0.333333333333333
35,32,4,0.25
35,33,3,0.333333333333333
35,34,31,0.032258064516129
35,36,13,0.0769230769230769
36,1,3,0.333333333333333
36,2,4,0.25
36,3,11,0.0909090909090909
36,4,13,0.0769230769230769
36,5,5,0.2
36,6,3,0.333333333333333
36,7,6,0.166666666666667
36,8,10,0.1
36,9,3,0.333333333333333
36,10,41,0.024390243902439
36,11,52,0.0192307692307692
36,12,6,0.166666666666667
36,13,3,0.333333333333333
36,14,31,0.032258064516129
36,15,4,0.25
36,16,5,0.2
36,17,9,0.111111111111111
36,18,4,0.25
36,19,7,0.142857142857143
36,20,3,0.333333333333333
36,21,1,1
36,22,44,0.0227272727272727
36,23,35,0.0285714285714286
36,25,1,1
36,26,19,0.0526315789473684
36,27,2,0.5
36,28,3,0.333333333333333
36,29,40,0.025
36,30,12,0.0833333333333333
36,31,4,0.25
36,32,8,0.125
36,33,5,0.2
36,34,3,0.333333333333333
36,35,22,0.0454545454545455
