ID,Checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Saving_accout,Present_employment,Installment_rate,Personal_status___sex,Other_debtors_guarantors,Present_residence,Property,Age,Other_installment_plan,Housing,Num_of_existing_credits,Job,Num_of_people_liable,Telephone,Foreign_worker,Credit_status
1,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1,N
2,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1,N
3,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,N
4,4,36,2,6,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1,N
5,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,N
6,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1,N
7,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1,N
8,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1,N
9,1,15,2,0,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1,N
10,4,24,4,3,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1,N
11,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,N
12,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,N
13,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,N
14,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,N
15,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2,N
16,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,N
17,4,10,4,2,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,N
18,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1,N
19,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1,N
20,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1,N
21,2,7,2,3,2415,1,3,3,3,3,2,1,34,3,2,1,3,1,1,1,N
22,2,18,2,9,1913,4,2,3,4,1,3,1,36,1,2,1,3,1,2,1,N
23,1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1,N
24,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,1,N
25,4,12,4,9,1264,5,5,4,3,1,4,4,57,3,1,1,2,1,1,1,N
26,3,12,2,2,1474,1,2,4,2,1,1,2,33,1,2,1,4,1,2,1,N
27,4,48,4,6,6110,1,3,1,3,1,3,4,31,1,3,1,3,1,2,1,N
28,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1,N
29,2,9,2,3,458,1,3,4,3,1,3,1,24,3,2,1,3,1,1,1,N
30,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1,N
31,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1,N
32,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1,N
33,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,N
34,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,1,N
35,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,1,N
36,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1,N
37,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,N
38,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1,N
39,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1,N
40,2,27,3,1,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1,N
41,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1,N
42,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,N
43,4,6,1,0,783,5,3,1,3,3,2,1,26,2,2,1,2,2,1,1,N
44,4,36,4,3,9566,1,3,2,2,1,2,3,31,2,2,2,3,1,1,1,N
45,3,18,2,0,1961,1,5,3,2,1,2,3,23,3,2,1,4,1,1,1,N
46,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1,N
47,2,15,4,3,1537,5,5,4,3,3,4,1,50,3,2,2,3,1,2,1,N
48,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1,N
49,4,27,2,5,5190,5,5,4,3,1,4,2,48,3,2,4,3,2,2,1,N
50,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,1,N
51,2,12,2,0,1007,4,3,4,4,1,1,1,22,3,2,1,3,1,1,1,N
52,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,1,N
53,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1,N
54,4,7,4,3,730,5,5,4,3,1,2,2,46,3,1,2,2,1,2,1,N
55,1,8,4,10,1164,1,5,3,3,1,4,4,51,1,3,2,4,2,2,1,N
56,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1,N
57,1,12,4,1,1526,1,5,4,3,1,4,4,66,3,3,2,4,1,1,1,N
58,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,1,1,1,N
59,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,2,1,1,N
60,2,30,2,2,3832,1,2,2,4,1,1,2,22,3,2,1,3,1,1,1,N
61,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1,N
62,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1,N
63,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1,N
64,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1,N
65,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,1,N
66,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,1,1,1,N
67,1,18,2,0,2249,2,4,4,3,1,3,3,30,3,2,1,4,2,2,1,N
68,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1,N
69,1,12,4,1,1409,1,5,4,3,1,3,1,54,3,2,1,3,1,1,1,N
70,3,24,4,2,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,1,1,N
71,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1,N
72,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1,N
73,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,1,1,1,N
74,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1,N
75,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1,N
76,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1,N
77,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1,N
78,4,6,3,3,932,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1,N
79,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,1,N
80,4,12,2,1,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1,N
81,2,12,2,0,6078,1,4,2,3,1,2,3,32,3,2,1,3,1,1,1,N
82,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2,N
83,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1,N
84,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,2,1,1,N
85,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,1,N
86,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1,N
87,1,12,2,3,1680,3,5,3,4,1,1,1,35,3,2,1,3,1,1,1,N
88,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,1,N
89,1,10,4,2,2132,5,2,2,2,2,3,1,27,3,1,2,3,1,1,2,N
90,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,1,N
91,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1,N
92,4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1,N
93,3,10,4,0,781,1,5,4,3,1,4,4,63,3,3,2,3,1,2,1,N
94,1,12,4,0,2121,1,3,4,3,1,2,2,30,3,2,2,3,1,1,1,N
95,1,12,2,3,701,1,3,4,4,1,2,1,40,3,2,1,2,1,1,1,N
96,2,12,4,1,1860,1,1,4,3,1,2,3,34,3,2,2,4,1,2,1,N
97,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,1,N
98,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1,N
99,4,18,2,2,1984,1,3,4,3,1,4,4,47,1,3,2,3,1,1,1,N
100,4,60,2,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,1,2,1,N
101,4,12,4,3,1240,5,5,4,2,1,2,1,38,3,2,2,3,1,2,1,N
102,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,1,N
103,2,15,4,3,2728,5,4,4,3,3,2,1,35,1,2,3,3,1,2,1,N
104,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,2,1,N
105,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,1,1,2,N
106,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1,N
107,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1,N
108,4,21,4,2,2288,1,2,4,2,1,4,2,23,3,2,1,3,1,2,1,N
109,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1,N
110,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,N
111,4,12,4,0,682,2,4,4,2,1,3,3,51,3,2,2,3,1,2,1,N
112,1,36,4,2,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,1,1,N
113,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1,N
114,4,6,2,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,2,2,1,N
115,4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2,N
116,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,1,N
117,2,24,4,1,7758,4,5,2,2,1,4,4,29,3,1,1,3,1,1,1,N
118,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,2,1,N
119,1,9,4,5,1288,2,5,3,3,3,4,1,48,3,2,2,3,2,1,2,N
120,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1,N
121,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,1,N
122,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1,N
123,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1,N
124,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1,N
125,4,15,2,4,1262,3,4,4,3,1,3,2,36,3,2,2,3,1,2,1,N
126,2,10,2,0,7308,1,1,2,3,1,4,4,70,1,3,1,4,1,2,1,N
127,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,1,N
128,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,1,N
129,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,1,1,N
130,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1,N
131,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1,N
132,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,1,2,N
133,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1,N
134,1,6,4,3,338,3,5,4,3,1,4,3,52,3,2,2,3,1,1,1,N
135,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,1,N
136,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1,N
137,4,24,4,2,3777,4,3,4,3,1,4,1,50,3,2,1,3,1,2,1,N
138,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1,N
139,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1,N
140,2,18,0,2,3244,1,3,1,2,1,4,3,33,1,2,2,3,1,2,1,N
141,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1,N
142,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,1,N
143,2,24,2,1,2760,5,5,4,3,1,4,4,36,1,3,1,3,1,2,1,N
144,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,1,N
145,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1,N
146,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1,N
147,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,1,N
148,1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1,N
149,4,12,4,2,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,2,1,N
150,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,1,1,1,N
151,1,24,2,9,6568,1,3,2,4,1,2,3,21,2,2,1,2,1,1,1,N
152,4,12,2,1,1413,4,4,3,3,1,2,2,55,3,2,1,3,1,1,2,N
153,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1,N
154,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,1,N
155,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,N
156,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,1,N
157,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1,N
158,3,36,2,3,3913,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1,N
159,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1,N
160,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,1,N
161,2,12,2,3,625,1,2,4,4,3,1,1,26,1,2,1,2,1,1,1,N
162,1,12,2,6,1200,5,3,4,2,1,4,2,23,1,1,1,3,1,2,1,N
163,4,12,2,3,707,1,3,4,3,1,2,1,30,1,2,2,3,1,1,1,N
164,4,24,3,9,2978,5,3,4,3,1,4,1,32,3,2,2,3,2,2,1,N
165,4,15,2,1,4657,1,3,3,3,1,2,3,30,3,2,1,3,1,2,1,N
166,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,1,1,N
167,1,24,2,2,3149,1,2,4,3,1,1,4,22,1,3,1,3,1,1,1,N
168,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,1,1,1,N
169,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,1,N
170,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,1,1,1,N
171,4,4,4,3,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,N
172,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,1,N
173,1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,1,1,N
174,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1,N
175,4,12,4,9,1185,1,3,3,2,1,2,1,27,3,2,2,3,1,1,1,N
176,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1,N
177,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1,N
178,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1,N
179,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,1,1,2,N
180,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1,N
181,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,1,2,1,N
182,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1,N
183,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1,N
184,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,1,N
185,2,60,3,3,7418,5,3,1,3,1,1,1,27,3,2,1,2,1,1,1,N
186,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,1,N
187,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1,N
188,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1,N
189,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1,N
190,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1,N
191,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1,N
192,4,12,4,6,2748,1,5,2,2,1,4,4,57,1,3,3,2,1,1,1,N
193,4,10,4,0,1231,1,5,3,3,1,4,1,32,3,2,2,2,2,1,2,N
194,4,36,4,9,6304,5,5,4,3,1,4,1,36,3,2,2,3,1,1,1,N
195,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1,N
196,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1,N
197,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2,N
198,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1,N
199,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1,N
200,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1,N
201,4,18,4,3,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1,N
202,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1,N
203,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,1,N
204,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,2,1,N
205,4,12,2,2,1574,1,3,4,3,1,2,1,50,3,2,1,3,1,1,1,N
206,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1,N
207,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,1,N
208,2,24,4,0,3878,2,2,4,1,1,2,3,37,3,2,1,3,1,2,1,N
209,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1,N
210,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,1,1,N
211,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,3,1,4,1,2,1,N
212,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1,N
213,4,12,2,9,1076,1,3,2,4,1,2,1,26,3,2,1,3,1,2,2,N
214,1,24,4,1,6419,1,5,2,2,1,4,4,44,3,3,2,4,2,2,1,N
215,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1,N
216,4,48,4,9,7629,5,5,4,1,1,2,3,46,1,2,2,4,2,1,1,N
217,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,1,N
218,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2,N
219,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,1,N
220,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,1,2,1,N
221,4,6,2,0,672,1,1,1,2,1,4,1,54,3,2,1,1,1,2,1,N
222,1,10,4,0,1038,1,4,4,3,2,3,2,49,3,2,2,3,1,2,1,N
223,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1,N
224,4,30,2,1,4811,5,4,2,2,1,4,2,24,2,1,1,2,1,1,1,N
225,2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1,N
226,2,48,2,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1,N
227,4,24,2,2,5511,2,3,4,3,1,1,3,25,2,2,1,3,1,1,1,N
228,3,24,2,2,3749,1,2,2,2,1,4,3,26,3,2,1,3,1,1,1,N
229,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2,N
230,1,12,2,2,708,1,3,2,3,3,3,2,38,3,2,1,2,2,1,1,N
231,2,24,2,2,4351,5,3,1,2,1,4,2,48,3,2,1,2,1,2,1,N
232,4,12,4,6,701,1,3,4,3,1,2,3,32,3,2,2,3,1,1,1,N
233,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1,N
234,1,24,2,1,2910,1,4,2,3,1,1,4,34,3,3,1,4,1,2,1,N
235,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,1,1,1,N
236,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,1,N
237,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,1,1,2,N
238,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,1,N
239,4,24,2,0,1525,4,4,4,2,1,3,3,34,3,2,1,3,2,2,1,N
240,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1,N
241,2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,1,1,N
242,1,24,4,1,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,2,1,N
243,2,13,2,3,2101,1,2,2,2,3,4,2,23,3,2,1,2,1,1,1,N
244,1,24,2,2,4169,1,3,4,3,1,4,2,28,3,2,1,3,1,1,1,N
245,2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1,N
246,2,24,4,6,5743,1,2,2,2,1,4,4,24,3,3,2,3,1,2,1,N
247,1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1,N
